,0,1,2,3,4,5,6,7
0,NAME,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,state,county
1,"Burlington County, New Jersey",8096,56805,68949,28093,13916,34,005
2,"Cumberland County, New Jersey",5053,16540,18524,10451,3315,34,011
3,"Hudson County, New Jersey",97657,130644,48242,11909,3548,34,017
4,"Middlesex County, New Jersey",23291,104574,122144,38014,19808,34,023
5,"Ocean County, New Jersey",14427,83106,94384,33775,15044,34,029
6,"Salem County, New Jersey",2715,6556,9633,3949,2120,34,033
7,"Union County, New Jersey",23055,71583,73878,24057,8819,34,039
8,"Atlantic County, New Jersey",15924,39974,37560,13979,4862,34,001
9,"Bergen County, New Jersey",28456,121851,135117,45014,21592,34,003
10,"Camden County, New Jersey",20311,70247,75506,24154,10940,34,007
11,"Cape May County, New Jersey",1322,18241,21570,5182,2545,34,009
12,"Essex County, New Jersey",68739,133084,88384,23411,8835,34,013
13,"Gloucester County, New Jersey",5782,31894,45453,18686,10687,34,015
14,"Hunterdon County, New Jersey",1592,13056,19489,10802,6353,34,019
15,"Mercer County, New Jersey",16161,49912,50258,20635,7004,34,021
16,"Monmouth County, New Jersey",14932,80387,97181,38258,19980,34,025
17,"Morris County, New Jersey",9031,57117,79365,31166,16168,34,027
18,"Passaic County, New Jersey",23600,65008,57497,21190,9768,34,031
19,"Somerset County, New Jersey",6731,40046,52501,22378,9283,34,035
20,"Sussex County, New Jersey",2389,14267,25160,10858,6093,34,037
21,"Warren County, New Jersey",3038,13508,17786,7875,4146,34,041
